tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign
HYP,1179 OPC NN_1,CS20230722_SUPT_1179,P18,6,0.18068938680905502,0.07899543776888918,TRUE
HYP,0454 SBPV-PVa Six6 Satb2 Gaba_2,CS20230722_SUPT_0454,P11,6,0.17668003510367972,0.05683231003337113,TRUE
AMY,1179 OPC NN_1,CS20230722_SUPT_1179,P12,6,-0.17576580330397576,0.11114509803866993,TRUE
HYP,0552 DMH Hmx2 Glut_1,CS20230722_SUPT_0552,P11,6,0.1741474565531317,0.16920817550029082,TRUE
HYP,0458 AHN Onecut3 Gaba_3,CS20230722_SUPT_0458,P4,6,0.17335198816475847,0.18362007167543062,TRUE
HYP,0602 STN-PSTN Pitx2 Glut_5,CS20230722_SUPT_0602,P3,6,0.1715813138192889,0.07687972712295785,TRUE
HYP,0974 PGRN-PARN-MDRN Hoxb5 Glut_2,CS20230722_SUPT_0974,P2,6,0.17125373092406299,0.1267063023306962,TRUE
HYP,0487 DMH Hmx2 Gaba_1,CS20230722_SUPT_0487,P18,6,0.17016980588439287,0.17635463686240985,TRUE
HYP,0565 VMH Fezf1 Glut_3,CS20230722_SUPT_0565,P10,6,0.1700977716892513,0.17521107406802067,TRUE
HYP,0451 AHN-SBPV-PVHd Pdrm12 Gaba_6,CS20230722_SUPT_0451,P1,6,0.16997107456593158,0.16663351295465406,TRUE
AMY,0204 Pvalb chandelier Gaba_1,CS20230722_SUPT_0204,P0,6,0.16908098046059128,0.16256878158469995,TRUE
HYP,0491 DMH Hmx2 Gaba_5,CS20230722_SUPT_0491,P14,6,0.1688614931140504,0.12810585562051294,TRUE
HYP,0587 PVH-SO-PVa Otp Glut_3,CS20230722_SUPT_0587,P11,6,0.16833765361230932,0.13505668953000488,TRUE
HYP,0587 PVH-SO-PVa Otp Glut_3,CS20230722_SUPT_0587,P18,6,-0.16813870214098658,0.12247182472193001,TRUE
HYP,0567 VMH Nr5a1 Glut_2,CS20230722_SUPT_0567,P18,6,0.16779039117864192,0.05129099649958952,TRUE
AMY,0136 DG Glut_1,CS20230722_SUPT_0136,P2,6,0.1672086876000992,0.1773038864926903,TRUE
HYP,0525 LHA Barhl2 Glut_2,CS20230722_SUPT_0525,P8,6,0.16650036559155337,0.12225442682778981,TRUE
HYP,0479 TU-ARH Otp Six6 Gaba_2,CS20230722_SUPT_0479,P3,6,-0.16609665098784918,0.07709025725853735,TRUE
HYP,0480 TU-ARH Otp Six6 Gaba_3,CS20230722_SUPT_0480,P8,6,0.16318972230751408,0.1057253390142362,TRUE
HYP,0602 STN-PSTN Pitx2 Glut_5,CS20230722_SUPT_0602,P4,6,0.16259176267224085,0.047301440865477815,TRUE
HYP,0552 DMH Hmx2 Glut_1,CS20230722_SUPT_0552,P17,6,-0.16247845527680552,0.13423175221489983,TRUE
AMY,0342 MEA-BST Sox6 Gaba_6,CS20230722_SUPT_0342,P13,6,-0.16168483887364837,0.13334473736953376,TRUE
HYP,0457 AHN Onecut3 Gaba_2,CS20230722_SUPT_0457,P10,6,-0.1613950892929279,0.10038602417715141,TRUE
HYP,0487 DMH Hmx2 Gaba_1,CS20230722_SUPT_0487,P15,6,-0.16017265294965585,0.07541835478621597,TRUE
HYP,0602 STN-PSTN Pitx2 Glut_5,CS20230722_SUPT_0602,P10,6,-0.15951938439270014,0.11811031390393877,TRUE
HYP,0459 ZI Pax6 Gaba_1,CS20230722_SUPT_0459,P1,6,0.15895219149947853,0.156420805187846,TRUE
HYP,0471 DMH-LHA Gsx1 Gaba_2,CS20230722_SUPT_0471,P17,6,0.15863877825497977,0.11854033130149574,TRUE
AMY,1184 MOL NN_4,CS20230722_SUPT_1184,P10,6,-0.15802515693154387,0.11249368370424204,TRUE
HYP,0587 PVH-SO-PVa Otp Glut_3,CS20230722_SUPT_0587,P12,6,0.15777364522093046,0.05431775807261744,TRUE
AMY,0206 Pvalb Gaba_2,CS20230722_SUPT_0206,P7,6,0.15733541164669593,0.12202359618350908,TRUE
HYP,0575 LHA-AHN-PVH Otp Trh Glut_2,CS20230722_SUPT_0575,P8,6,-0.15634830022852134,0.21598083456630254,TRUE
AMY,0289 STR-PAL Chst9 Gaba_5,CS20230722_SUPT_0289,P12,6,-0.1556721969827387,0.1842943100482196,TRUE
HYP,0466 ZI Pax6 Gaba_8,CS20230722_SUPT_0466,P3,6,0.15421971451909336,0.0919479158014488,TRUE
AMY,0285 STR-PAL Chst9 Gaba_1,CS20230722_SUPT_0285,P11,6,-0.15332222070283288,0.11643372422837424,TRUE
HYP,0481 TMd-DMH Foxd2 Gaba_1,CS20230722_SUPT_0481,P11,6,0.15238531463046723,0.14632668650350994,TRUE
HYP,0487 DMH Hmx2 Gaba_1,CS20230722_SUPT_0487,P9,6,-0.1522313849597382,0.13819649399988923,TRUE
AMY,0289 STR-PAL Chst9 Gaba_5,CS20230722_SUPT_0289,P19,6,-0.1496190273831066,0.06501697104934147,TRUE
AMY,0374 CEA-AAA-BST Six3 Sp9 Gaba_2,CS20230722_SUPT_0374,P9,6,0.14847780283575168,0.11805832608993111,TRUE
AMY,0204 Pvalb chandelier Gaba_1,CS20230722_SUPT_0204,P14,6,-0.14623058762962968,0.0684701761437187,TRUE
HYP,0451 AHN-SBPV-PVHd Pdrm12 Gaba_6,CS20230722_SUPT_0451,P13,6,-0.14524247459883888,0.06558881035853482,TRUE
AMY,0055 MEA Slc17a7 Glut_1,CS20230722_SUPT_0055,P19,6,-0.14296694957250228,0.06304466415049631,TRUE
HYP,1194 Microglia NN_1,CS20230722_SUPT_1194,P9,6,0.1426037557537255,0.11813907934858786,TRUE
HYP,0436 SCH Six6 Cdc14a Gaba_1,CS20230722_SUPT_0436,P12,6,0.1425999826465993,0.07244891897119514,TRUE
HYP,0459 ZI Pax6 Gaba_1,CS20230722_SUPT_0459,P2,6,0.1420191242494685,0.10955396404583354,TRUE
AMY,0039 L2/3 IT PIR-ENTl Glut_1,CS20230722_SUPT_0039,P14,6,0.1400234618761363,0.12224004056150246,TRUE
AMY,0003 IT EP-CLA Glut_1,CS20230722_SUPT_0003,P18,6,0.13917215030667787,0.09864925029001624,TRUE
AMY,0359 MEA-BST Lhx6 Nfib Gaba_3,CS20230722_SUPT_0359,P0,6,0.1384226298349901,0.11134934343033542,TRUE
AMY,0038 L2/3 IT ENT Glut_6,CS20230722_SUPT_0038,P4,6,-0.13836472958450502,0.07393441531773344,TRUE
AMY,0105 L6b EPd Glut_3,CS20230722_SUPT_0105,P9,6,-0.1359156945137115,0.13737442081566015,TRUE
HYP,0456 AHN Onecut3 Gaba_1,CS20230722_SUPT_0456,P16,6,0.13564039016412377,0.16185635050096212,TRUE
AMY,0233 STR Prox1 Lhx6 Gaba_1,CS20230722_SUPT_0233,P12,6,0.13348795608257286,0.1405965067031316,TRUE
HYP,0569 VMH Nr5a1 Glut_4,CS20230722_SUPT_0569,P18,6,-0.1333816455275794,0.08064795123646372,TRUE
HYP,0576 LHA-AHN-PVH Otp Trh Glut_3,CS20230722_SUPT_0576,P7,6,0.1325837767672585,0.07560258928348211,TRUE
HYP,0566 VMH Nr5a1 Glut_1,CS20230722_SUPT_0566,P9,6,0.1298355393610844,0.12485367240121722,TRUE
AMY,0274 STR D2 Gaba_1,CS20230722_SUPT_0274,P15,6,0.12865026556382816,0.06934470351977533,TRUE
