tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign,top_term,top_category,top_pvalue,n_terms_p05
AMY,0505 MEA-COA-BMA Ccdc42 Glut_1,CS20230722_SUPT_0505,P7,6,0.20271786880739892,0.12239867901495857,TRUE,Transmembrane helix,UP_KW_DOMAIN,0.6070375471259071,0
AMY,0358 MEA-BST Lhx6 Nfib Gaba_2,CS20230722_SUPT_0358,P4,6,-0.20098844677971028,0.14758158659850434,TRUE,Glycoprotein,UP_KW_PTM,0.00331864128376402,7
HYP,0495 ARH-PVp Tbx3 Gaba_3,CS20230722_SUPT_0495,P13,6,0.19950122397068207,0.2606210606845487,TRUE,negative regulation of DNA-templated transcription,GOTERM_BP_DIRECT,0.01565553243874988,8
HYP,0444 PVHd-SBPV Six3 Prox1 Gaba_3,CS20230722_SUPT_0444,P18,6,-0.19934998957668046,0.17555464346219424,TRUE,Developmental protein,UP_KW_MOLECULAR_FUNCTION,0.00165301886078706,7
AMY,1184 MOL NN_4,CS20230722_SUPT_1184,P16,6,-0.19872318556512222,0.06641144594716673,TRUE,cell-cell adhesion,GOTERM_BP_DIRECT,0.00114898073417869,2
HYP,0530 SI-MA-LPO-LHA Skor1 Glut_1,CS20230722_SUPT_0530,P6,6,-0.1966635830436118,0.16718625274746765,TRUE,cell division,GOTERM_BP_DIRECT,0.00133781356431775,5
HYP,0474 PVHd-DMH Lhx6 Gaba_1,CS20230722_SUPT_0474,P16,6,-0.19440477770843112,0.16492632632415255,TRUE,protein binding,GOTERM_MF_DIRECT,0.12224676256151971,0
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P1,6,0.19390173517033002,0.13723790212193127,TRUE,TOPO_DOM:Cytoplasmic,UP_SEQ_FEATURE,2.6579600213086e-4,34
HYP,0555 ARH-PVp Tbx3 Glut_2,CS20230722_SUPT_0555,P4,6,-0.1936529399207838,0.20437010250844992,TRUE,glutamatergic synapse,GOTERM_CC_DIRECT,1.4513814776552e-4,23
AMY,0289 STR-PAL Chst9 Gaba_5,CS20230722_SUPT_0289,P17,6,-0.19319551931949266,0.20088143277130932,TRUE,chloride channel activity,GOTERM_MF_DIRECT,0.00238191466607742,11
HYP,0974 PGRN-PARN-MDRN Hoxb5 Glut_2,CS20230722_SUPT_0974,P18,6,-0.19277726335055295,0.11324092498930632,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,2.990299394648745e-7,44
HYP,0579 AHN-RCH-LHA Otp Fezf1 Glut_1,CS20230722_SUPT_0579,P2,6,0.1924268828763535,0.21432959439145033,TRUE,Disulfide bond,UP_KW_PTM,0.00858954700208014,1
AMY,0386 CEA-BST Ebf1 Pdyn Gaba_3,CS20230722_SUPT_0386,P17,6,-0.19180492843583816,0.1353388500454736,TRUE,integrin-mediated signaling pathway,GOTERM_BP_DIRECT,6.543455784838037e-5,51
HYP,0449 AHN-SBPV-PVHd Pdrm12 Gaba_4,CS20230722_SUPT_0449,P3,6,-0.18995649866333164,0.16543817321175885,TRUE,molecular_function,GOTERM_MF_DIRECT,0.09455360080422756,0
AMY,0041 L2/3 IT PIR-ENTl Glut_3,CS20230722_SUPT_0041,P3,6,0.1896633771533353,0.14988303472539924,TRUE,nucleus,GOTERM_CC_DIRECT,0.00458210290930516,3
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P14,6,-0.18877560371360194,0.17218107028752455,TRUE,IPR000742:EGF,INTERPRO,6.6449312105959e-4,16
AMY,0371 CEA-BST Six3 Cyp26b1 Gaba_5,CS20230722_SUPT_0371,P7,6,0.1885630151828975,0.280814191805194,TRUE,cell surface,GOTERM_CC_DIRECT,1.5756751946003e-4,28
HYP,0524 LHA Barhl2 Glut_1,CS20230722_SUPT_0524,P10,6,0.1884009568633771,0.11434570611816845,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,1.1057519780323e-4,15
